장례식장 명칭,주소,대표 전화,기본 비용 (최저가 기준)
씨엘로펫,경기 용인시 처인구 백암면 죽양대로 1206,1551-5052,200000
펫오케스트라,경기 화성시 비봉면 양노리 755-5,1551-5052,350000
어게인,충북 옥천군 동이면 옥천동이로 439,1551-5052,200000
펫포레스트 남양주점,경기 남양주시 일패동 461-1,0507-8718-324,350000
리틀포즈,대구 군위군 부계면 창평리 812,1551-5052,상담 문의
메리온,경남 양산시 상북면 외석리 462-1,0507-8718-214,200000
퍼스트펫,전남 나주시 다시면 신광리 911-4,0507-8718-322,250000
별다만,전남 나주시 다도면 신동리 467-92,1551-5052,230000
위드엔젤,충남 예산군 대술면 화산리 465-1,1551-5052,250000
펫포레스트 김포점,경기 김포시 통진읍 고정로 308,0507-8718-323,350000
아이헤븐,경남 김해시 생림면 봉림리 872-1,0507-8718-213,250000
한별리멤버파크,경남 함안군 산인면 송산로 441,1551-5052,250000
스토리펫,경기 화성시 정남면 문학리 663,0507-8718-320,250000
스윗드림펫,경북 칠곡군 가산면 다부리 651,1551-5052,240000
엔젤스톤,경기 김포시 하성면 양택리 251-6,0507-8718-210,250000
백꽃사랑하이빛,경기 광주시 곤지암읍 부항리 236,1551-5052,250000
펫바라기 남원점,전북 남원시 보절면 신파리 403,1551-5052,220000
펫바라기 일산점,경기 고양시 일산동구 설문동 515-1,1551-5052,220000
오수펫추모공원,전북 임실군 오수면 춘향로 1554-95,0507-8718-218,200000
굿바이펫,충북 제천시 봉양읍 장평리 37-1,0507-8718-215,350000
스마일어게인,충북 영동군 추풍령면 작점리 148,0507-8718-216,350000
펫포유,세종 장군면 금암리 88-1,0507-8718-212,180000
전주아리움,전북 전주시 완산구 효자동3가 1039-1,1551-5052,250000
하늘강아지,경기 광주시 초월읍 선동리 386-5,1551-5052,250000
스타티스,부산 기장군 일광읍 동백리 383-2,1551-5052,250000
해늘마루,전남 목포시 대양동 756-10,1551-5052,250000
경북,경북 김천시 봉산면 신암리 396,1551-5052,150000
포포즈 화성점,경기 화성시 팔탄면 창곡리 925-6,1551-5052,250000
러브펫 경기광주점,경기 광주시 초월읍 지월리 712-10,1551-5052,250000
포포즈 세종점,세종 부강면 부강리 658-2,1551-5052,250000
포포즈 김해점,경남 김해시 한림면 안하로 102,1551-5052,250000
더포에버,인천 서구 대곡동 361-2,1551-5052,250000
패투헤븐,강원 원주시 소초면 현촌길 90-3,1551-5052,상담 문의
아리아펫,경기 이천시 마장면 장암리 525-1,1551-5052,250000
