장례식장 명칭,주소,대표 전화,기본 비용 (최저가 기준)
씨엘로펫,경기 용인시 처인구 백암면 죽양대로 1206,1551-5052,200,000원
어게인,충북 옥천군 동이면 옥천동이로 439,1551-5052,180,000원
펫포레스트 남양주점,경기 남양주시 일패동 461-1,05078718324,350,000원
리틀포즈,대구 군위군 부계면 창평리 812,1551-5052,기본 제공
메리온,경남 양산시 상북면 외석리 462-1,05078718214,200,000원
21그램 경기광주점,경기 광주시 매산동 139,1551-5052,350,000원 (베이직)
펫오케스트라,경기 화성시 비봉면 양노리 755-5,1551-5052,350,000원
별다만,전남 나주시 다도면 신동리 467-92,1551-5052,150,000원
경북,경북 김천시 봉산면 신암리 396,1551-5052,150,000원~
위드엔젤,충남 예산군 대술면 화산리 465-1,1551-5052,200,000원 ~
21그램 남양주점,경기 남양주시 화도읍 차산리 856-1,1551-5052,350,000원 (베이직)
한별리멤버파크,경남 함안군 산인면 송산로 441,1551-5052,200,000원
해피펫,전북 완주군 이서면 은교리 508,1551-5052,110,000원
펫바라기 남원점,전북 남원시 보절면 신파리 403,1551-5052,150,000원
포포즈 세종점,세종 부강면 부강리 658-2,1551-5052,200,000원 (기본)
스윗드림펫,경북 칠곡군 가산면 다부리 651,1551-5052,240,000원
포포즈 양주점,경기 양주시 광적면 비암리 583-4,1551-5052,250,000원 (기본)
백꽃사랑하이빛,경기 광주시 곤지암읍 부항리 236,1551-5052,250,000원
포포즈 경기광주점,경기 광주시 초월읍 신월리 592-19,1551-5052,250,000원 (기본)
강릉펫사랑,강원 강릉시 사천면 석교리 779,1551-5052,300,000원
패투헤븐,강원 원주시 소초면 현촌길 90-3,1551-5052,별도 문의
별이되다,경남 김해시 생림면 나전리 1065-8,1551-5052,200,000원 ~
좋은친구들,충남 공주시 우성면 보흥리 759,1551-5052,200,000원 ~
더포에버,인천 서구 대곡동 361-2,1551-5052,200,000원 ~
러브펫 경기광주점,경기 광주시 초월읍 지월리 712-10,1551-5052,200,000원 (일반)
펫포레스트 김포점,경기 김포시 통진읍 고정로 308,05078718323,350,000원
몽몽이엠파크,경기 남양주시 화도읍 구암리 305,1551-5052,150,000원 (기본)
펫바라기 일산점,경기 고양시 일산동구 설문동 515-1,1551-5052,150,000원
전주아리움,전북 전주시 완산구 효자동3가 1039-1,1551-5052,180,000원 (기본)
젠틀펫스타,경북 문경시 문경읍 진안리 350-4,1551-5052,150,000원 ~
하늘강아지,경기 광주시 초월읍 선동리 386-5,1551-5052,200,000원
포포즈 화성점,경기 화성시 팔탄면 창곡리 925-6,1551-5052,250,000원 (기본)
해늘마루,전남 목포시 대양동 756-10,1551-5052,상담 문의
전주하늘,전북 완주군 소양면 신원리 1-3,1551-5052,100,000원
펫노블레스,경남 양산시 상북면 상삼리 807,1551-5052,250,000원
서래안펫타운,전북 군산시 경암동 570-39,1551-5052,별도
펫콤,경기 양주시,1551-5052,220,000원
한별,경남 창원시 성산구 창원대로 11,1551-5052,200,000원 ~
포포즈 김해점,경상남도 김해시 한림면 안하로 102,1551-5052,200,000원 (기본)
스타티스,부산 기장군 일광읍 동백리 383-2,1551-5052,200,000원 ~
아이별,부산 기장군 장안읍 기룡리 240,1551-5052,200,000원 ~
강아지펫헤븐,경북 성주군 선남면 오도리 91,1551-5052,200,000원 ~
푸른솔,전남 여수시 율촌면 취적리 964-3,1551-5052,200,000원 ~
리멤버,경기 용인시 처인구 남사읍 방아리 883-3,1551-5052,200,000원 ~
하늘소풍,경남 고성군 회화면 봉동리 608-3,1551-5052,200,000원 ~
펫로스케어,경남 김해시 상동면 우계리 112-1,1551-5052,200,000원 ~
펫메모리얼,강원 횡성군 공근면 초원리 109-16,1551-5052,200,000원 ~
파트라슈,부산 기장군 장안읍 좌동리 49-1,1551-5052,200,000원 ~
우바스,충북 청주시 상당구 남일면 가중리 309-1,1551-5052,200,000원 ~
리멤버파크,상담 문의,1551-5052,상담 문의
스토리펫,경기 화성시 정남면 문학리 663,05078718320,180,000원
아이들랜드,경북 경산시 남산면,1551-5052,200,000원 ~
펫포레스트 경기광주점,경기 광주시 오포안로 77,05078718325,350,000원
이별공간,경남 울주군,1551-5052,200,000원 ~
로이힐즈,경기 양평군 양동면 삼산리 18,1551-5052,200,000원 ~
스타펫,경기 포천시,1551-5052,200,000원 ~
퍼스트펫,전남 나주시 다시면 신광리 911-4,05078718322,250,000원
아이헤븐,경남 김해시 생림면 봉림리 872-1,05078718213,250,000원
스마일어게인,충북 영동군 추풍령면 작점리 148,05078718216,350,000원
엔젤스톤,경기 김포시 하성면 양택리 251-6,05078718210,220,000원
타임투,전남 함평군 학교면 월산리 259,1551-5052,200,000원 ~
하얀민들레,경북 청도군 화양읍 남성현로 852,1551-5052,200,000원 ~
러블리엔젤,충북 청주시 서원구 남이면 구미리 233-1,1551-5052,200,000원 ~
해피엔딩,경기 광주시 초월읍 지월리 134,1551-5052,200,000원 ~
아이드림펫,경기 김포시 하성면 양택리 161-1,1551-5052,200,000원 ~
오수펫추모공원,전북 임실군 오수면 춘향로 1554-95,05078718218,200,000원
21그램 천안아산점,충남 천안시 서북구 입장면 연곡리,1551-5052,350,000원 (베이직)
아리아펫,경기 이천시 마장면 장암리 525-1,1551-5052,200,000원 ~
포포즈 김포점,경기 김포시 월곶면 개곡리 810-1,1551-5052,250,000원 (기본)
펫로스케어2,경남 김해시,1551-5052,200,000원 ~
