장례식장명,요금카테고리,상품/항목명,가격,상품설명
21그램 경기광주점,등록 요금 정보 없음,-,전화 문의,-
21그램 남양주점,등록 요금 정보 없음,-,전화 문의,-
21그램 천안아산점,등록 요금 정보 없음,-,전화 문의,-
강릉펫사랑,장례 예식 안내 (5kg 기준),기본 예식,"300,000원","염습, 추모실, 단독화장, 목관함, 액자 제공"
강릉펫사랑,장례 예식 안내 (5kg 기준),펫사랑 예식,"350,000원","기본 예식 + 오동나무관, 삼베이불, 생화 소량"
강릉펫사랑,장례 예식 안내 (5kg 기준),품격 예식,"450,000원","기본 예식 + 오동나무관, 인견수의보/삼베수의 중 택 1, 생화"
강릉펫사랑,장례 예식 안내 (5kg 기준),고급 예식,"550,000원","기본 예식 + 오동나무관, 삼베수의, 고급 린넨수의보 등"
강릉펫사랑,장례 예식 안내 (5kg 기준),최고급 예식,"650,000원","기본 예식 + 요람관, 최고급 목화솜수의보, 생화 등"
강릉펫사랑,스톤 패키지 장례 (5kg 기준),기본 스톤 장례,"650,000원",펫사랑예식 + 기본 스톤함
강릉펫사랑,스톤 패키지 장례 (5kg 기준),품격 스톤 장례,"1,000,000원",품격예식 + 호두나무 액자 스톤함
강릉펫사랑,스톤 패키지 장례 (5kg 기준),고급 스톤 장례,"1,200,000원",고급예식 + 고급 원목 홈세트
강릉펫사랑,납골당 패키지 장례,품격 납골당 장례,"700,000원",품격예식 + 기능성 유골함 + 납골당(전층) 1년
강릉펫사랑,납골당 패키지 장례,고급 납골당 장례,"900,000원",고급예식 + 호두나무 액자 안치함 + 납골당 1년
강아지펫헤븐,등록 요금 정보 없음,-,전화 문의,-
경북,등록 요금 정보 없음,-,전화 문의,-
굿바이펫,기본 장례 비용 (소형 반려동물 기준),기본 장례,"350,000원",염습+수의+오동나무관+백자단지+수목장 유골함
굿바이펫,기본 장례 비용 (소형 반려동물 기준),특수동물 및 6개월 미만,"300,000원","기본 장례 비용에서 50,000원 차감"
굿바이펫,기본 장례 비용 (소형 반려동물 기준),셀프 장례,"300,000원","기본 장례 비용에서 50,000원 차감"
굿바이펫,체중별 기본 화장 비용 (중형~대형견),중형견 (약 15kg 이내),"450,000원",광목천+한지 입관
굿바이펫,체중별 기본 화장 비용 (중형~대형견),중대형견 (약 25kg 이내),"550,000원",광목천+한지 입관
굿바이펫,체중별 기본 화장 비용 (중형~대형견),대형견 (약 35kg 이내),"650,000원",광목천+한지 입관
굿바이펫,체중별 기본 화장 비용 (중형~대형견),초대형견 (약 45kg 이내),"750,000원",광목천+한지 입관
굿바이펫,선택 옵션 및 추가 항목,중소형관(60cm) 추가,"50,000원",골격이 커서 중소형관이 필요한 경우
굿바이펫,선택 옵션 및 추가 항목,납골당 안치 (3개월),"60,000원",연장 가능
굿바이펫,선택 옵션 및 추가 항목,루세떼(메모리얼 스톤) 제작,별도 문의,중부권 최초 루세떼 제작 시설
더포에버,기본 장례식 (전과정 참관 및 단독추모실),소동물,"150,000원",기본장례
더포에버,기본 장례식 (전과정 참관 및 단독추모실),5kg 미만,"200,000원",기본장례
더포에버,기본 장례식 (전과정 참관 및 단독추모실),10kg 미만,"230,000원",기본장례
더포에버,기본 장례식 (전과정 참관 및 단독추모실),15kg 미만,"250,000원",기본장례
더포에버,기본 장례식 (전과정 참관 및 단독추모실),20kg 미만,"300,000원",기본장례
